﻿統一編號,經紀業名稱,緯度,經度,行政區,地址
2999211,建成企業管理顧問有限公司,24.1319059,120.6657205,台中市西區,樂群街387號2樓
81530319,尊龍房屋租售介紹中心,24.149868,120.647972,台中市南屯區,溝墘里大墩十二街291號1樓
77248260,大墩房屋租售介紹中心,24.1484668,120.6554047,台中市西區,公德里精誠31街7號1樓
16721497,有容廣告有限公司,24.1482198,120.634111,台中市南屯區,三厝里大墩十一街785號
70514066,南北不動產仲介經紀股份有限公司,24.1393131,120.696325,台中市東區,泉源里建成路342之2號2樓
97261091,萬群廣告企劃事業有限公司,24.1420202,120.6351838,台中市南屯區,南屯路2段960之9號1樓
16276159,百事成開發實業有限公司,24.1376142,120.6828776,台中市中區,中山里綠川東街32號12樓之14
97260488,寶利旺不動產仲介經紀有限公司,24.1755852,120.6861642,台中市北屯區,大連路2段56號
97392262,安心資產管理有限公司,24.1418565,120.6398597,台中市南屯區,南屯里五權西路二段662號1樓
81526005,維達房屋租售介紹中心,24.144861,120.6796976,台中市中區,光復路209號1樓
18357240,瑞聯房屋仲介行,24.1704558,120.6448136,台中市西屯區,青海路3段945號1樓
77626880,信東房屋仲介中心,24.170491,120.6980241,台中市北屯區,三光里東山路1段50之6號1樓
84381073,豐客房屋仲介股份有限公司,24.1079105,120.6886573,台中市大里區,新南路133號1樓
13005963,?鼎不動產經紀有限公司,24.1616731,120.6896774,台中市北區,益華街147號1樓
16537393,山大立不動產經紀業股份有限公司,24.1742798,120.6795252,台中市北屯區,梅川西路4段287號
14286110,麒麟房屋不動產商行,24.1678042,120.680823,台中市北屯區,平德里綏遠路2段59號1樓
13018670,文昌不動產仲介經紀有限公司,24.1162428,120.6818726,台中市南區,和平里東興路1段50號1樓
89342938,美得利廣告企劃有限公司,24.1737144,120.6135854,台中市西屯區,工業一路98之22號9樓之2
16504132,閤桀不動產經紀業有限公司,24.1477662,120.6614916,台中市西區,美村路1段548號1樓
97933577,金牌房屋租售介紹中心,24.1495612,120.6532498,台中市西區,公正里東興路3段146號1樓
13025150,將朝不動產經紀業有限公司,24.1694737,120.6611807,台中市西屯區,重慶路252之2號1樓
77933472,上群房屋租售介紹中心,24.1262022,120.6770938,台中市南區,德義里建成路1575號1樓
